# file	max_prose_run	forbid_hits — 래칫 기준선. 이보다 나빠지면 실패한다.
# 재집필이 끝난 편은 이 파일에서 행을 지운다. 줄 수가 곧 남은 부채다.
# forbid_hits 가 0 이 아닌 행은 voice 규칙 8 위반이 남아 있다는 뜻이다 — 재집필 때 펼쳐 쓴다.
src/data-structures/range-query/intervalTree/intervalTree-guide.mdx	4	0
src/data-structures/range-query/persistentSegmentTree/persistentSegmentTree-guide.mdx	3	0
src/data-structures/range-query/segmentTree/segmentTree-guide.mdx	8	0
src/data-structures/range-query/segmentTreeLazy/segmentTreeLazy-guide.mdx	3	0
src/data-structures/range-query/sparseTable/sparseTable-guide.mdx	3	0
src/data-structures/spatial/kdTree/kdTree-guide.mdx	3	0
src/data-structures/spatial/quadtree/quadtree-guide.mdx	2	0
src/data-structures/tree/avlTree/avlTree-guide.mdx	10	0
src/data-structures/tree/bPlusTree/bPlusTree-guide.mdx	11	0
src/data-structures/tree/bTree/bTree-guide.mdx	7	0
src/data-structures/tree/binarySearchTree/binarySearchTree-guide.mdx	4	0
src/data-structures/tree/cartesianTree/cartesianTree-guide.mdx	5	0
src/data-structures/tree/huffmanTree/huffmanTree-guide.mdx	11	0
src/data-structures/tree/linkCutTree/linkCutTree-guide.mdx	5	0
src/data-structures/tree/merkleTree/merkleTree-guide.mdx	2	0
src/data-structures/tree/multiset/multiset-guide.mdx	7	0
src/data-structures/tree/orderStatisticTree/orderStatisticTree-guide.mdx	5	0
src/data-structures/tree/redBlackTree/redBlackTree-guide.mdx	5	0
src/data-structures/tree/scapegoatTree/scapegoatTree-guide.mdx	5	0
src/data-structures/tree/splayTree/splayTree-guide.mdx	6	0
src/data-structures/tree/treap/treap-guide.mdx	7	0
src/data-structures/tree/twoThreeTree/twoThreeTree-guide.mdx	13	0
src/data-structures/trie/ahoCorasick/ahoCorasick-guide.mdx	5	0
src/data-structures/trie/radixTree/radixTree-guide.mdx	5	0
src/data-structures/trie/suffixArray/suffixArray-guide.mdx	6	1
src/data-structures/trie/suffixTree/suffixTree-guide.mdx	9	0
src/data-structures/trie/ternarySearchTree/ternarySearchTree-guide.mdx	6	0
src/data-structures/trie/trie/trie-guide.mdx	3	0
